Newtv,#genre#
CCTV中国中央电视台-10 科教,http://121.31.30.90:8085/ysten-business/live/cctv-10/yst.m3u8
CCTV中国中央电视台-11 戏曲,http://117.148.187.37/PLTV/88888888/224/3221226219/index.m3u8
CCTV中国中央电视台-11 戏曲,http://117.169.120.140:8080/live/cctv-11/.m3u8
CCTV中国中央电视台-11 戏曲,http://121.31.30.90:8085/ysten-business/live/cctv-11/1.m3u8
CCTV中国中央电视台-12 社会与法制,http://117.148.187.37/PLTV/88888888/224/3221226167/index.m3u8
CCTV中国中央电视台-12 社会与法制,http://121.31.30.90:8085/ysten-business/live/cctv-12/1.m3u8
CCTV中国中央电视台-13 新闻,http://117.148.187.37/PLTV/88888888/224/3221226193/index.m3u8
CCTV中国中央电视台-13 新闻,http://117.169.120.140:8080/live/cctv-13/.m3u8
CCTV中国中央电视台-13 新闻,http://121.31.30.90:8085/ysten-business/live/cctv-13/1.m3u8
CCTV中国中央电视台-14 少儿,http://117.148.187.37/PLTV/88888888/224/3221226126/index.m3u8
CCTV中国中央电视台-14 少儿,http://117.148.187.37/PLTV/88888888/224/3221226565/index.m3u8
CCTV中国中央电视台-14 少儿,http://121.31.30.90:8085/ysten-business/live/cctv-14/1.m3u8
CCTV中国中央电视台-14 少儿,http://ivi.bupt.edu.cn/hls/cctv14.m3u8
CCTV中国中央电视台-15 音乐,http://117.148.187.37/PLTV/88888888/224/3221226112/index.m3u8
CCTV中国中央电视台-15 音乐,http://121.31.30.90:8085/ysten-business/live/cctv-15/1.m3u8
CCTV中国中央电视台-2 财经,http://117.148.187.37/PLTV/88888888/224/3221226138/index.m3u8
CCTV中国中央电视台-2 财经,http://117.169.120.140:8080/live/cctv-2/.m3u8
CCTV中国中央电视台-2 财经,http://121.31.30.90:8085/ysten-business/live/cctv-2/1.m3u8
CCTV中国中央电视台-2 财经,http://121.31.30.90:8085/ysten-business/live/cctv-2/yst.m3u8
CCTV中国中央电视台-2 财经,http://125.210.152.10:8060/live/CCTV2HD_H265.m3u8
CCTV中国中央电视台-2 财经,http://ivi.bupt.edu.cn/hls/cctv2.m3u8
CCTV中国中央电视台-3 综艺,http://117.169.120.140:8080/live/cctv-3/.m3u8
CCTV中国中央电视台-3 综艺,http://121.31.30.90:8085/ysten-business/live/cctv-3/1.m3u8
CCTV中国中央电视台-3 综艺,http://ivi.bupt.edu.cn/hls/cctv3hd.m3u8
CCTV中国中央电视台-4 中文国际,http://117.148.187.37/PLTV/88888888/224/3221226171/index.m3u8
CCTV中国中央电视台-4 中文国际,http://117.169.120.140:8080/live/cctv-4/.m3u8
CCTV中国中央电视台-4 中文国际,http://121.31.30.90:8085/ysten-business/live/cctv-4/1.m3u8
CCTV中国中央电视台-5 体育,http://117.148.187.37/PLTV/88888888/224/3221226400/index.m3u8
CCTV中国中央电视台-5 体育,http://121.31.30.90:8085/ysten-business/live/cctv-5/yst.m3u8
CCTV中国中央电视台-5+ 体育赛事,http://121.31.30.90:8085/ysten-business/live/hdcctv05plus/yst.m3u8
CCTV中国中央电视台-5+ 体育赛事,http://ivi.bupt.edu.cn/hls/cctv5phd.m3u8
CCTV中国中央电视台-6 电影,http://117.169.120.140:8080/live/cctv-6/.m3u8
CCTV中国中央电视台-6 电影,http://121.31.30.90:8085/ysten-business/live/cctv-6/1.m3u8
CCTV中国中央电视台-6 电影,http://ivi.bupt.edu.cn/hls/cctv6hd.m3u8
CCTV中国中央电视台-7 国防军事,http://117.148.187.37/PLTV/88888888/224/3221226122/index.m3u8
CCTV中国中央电视台-7 国防军事,http://117.148.187.37/PLTV/88888888/224/3221226470/index.m3u8
CCTV中国中央电视台-7 国防军事,http://117.169.120.140:8080/live/cctv-7/.m3u8
CCTV中国中央电视台-7 国防军事,http://121.31.30.90:8085/ysten-business/live/cctv-7/1.m3u8
CCTV中国中央电视台-8 电视剧,http://117.148.187.37/PLTV/88888888/224/3221226493/index.m3u8
CCTV中国中央电视台-8 电视剧,http://117.169.120.140:8080/live/cctv-8/.m3u8
CCTV中国中央电视台-8 电视剧,http://121.31.30.90:8085/ysten-business/live/cctv-8/1.m3u8
CCTV中国中央电视台-8 电视剧,http://ivi.bupt.edu.cn/hls/cctv8.m3u8
CCTV中国中央电视台-8 电视剧,http://ivi.bupt.edu.cn/hls/cctv8hd.m3u8
CCTV中国中央电视台-9 纪录,http://117.148.187.37/PLTV/88888888/224/3221226156/index.m3u8
CCTV中国中央电视台-9 纪录,http://ivi.bupt.edu.cn/hls/cctv9.m3u8
Celestial Movies,http://210.210.155.35/qwr9ew/s/s33/index.m3u8
CHC高清电影,http://ivi.bupt.edu.cn/hls/chchd.m3u8
iPanda,http://gccnchwc.v.cdn20.com/gc/xiongmao01_1.flv
IPTV精品综艺,http://121.31.30.90:8085/ysten-business/live/jzongyi/yst.m3u8
NewTV未来电视 中国功夫 (Backup),http://121.31.30.90:8085/ysten-business/live/SD-1500k-576P-gzkongfu/1.m3u8
NewTV未来电视 军事评论 (Backup),http://121.31.30.90:8085/ysten-business/live/junshipl/1.m3u8
NewTV未来电视 军旅剧场,http://121.31.30.90:8085/ysten-business/live/junlvjc/1.m3u8
NewTV未来电视 农业致富,http://121.31.30.90:8085/ysten-business/live/nongyezf/1.m3u8
NewTV未来电视 动作电影 (Backup),http://121.31.30.90:8085/ysten-business/live/dongzuody/1.m3u8
NewTV未来电视 家庭剧场 (Backup),http://121.31.30.90:8085/ysten-business/live/jiatingjc/1.m3u8
NewTV未来电视 惊悚悬疑 (Backup),http://121.31.30.90:8085/ysten-business/live/jingsongxy/1.m3u8
NewTV未来电视 搏击 (Backup),http://121.31.30.90:8085/ysten-business/live/SD-1500k-576P-bokesen/1.m3u8
NewTV未来电视 明星大片 (Backup),http://117.148.187.37/PLTV/88888888/224/3221226751/index.m3u8
NewTV未来电视 明星大片 (Backup),http://121.31.30.90:8085/ysten-business/live/mingxingdp/1.m3u8
NewTV未来电视 潮妈辣婆,http://117.148.187.37/PLTV/88888888/224/3221226666/index.m3u8
NewTV未来电视 炫舞未来,http://112.17.40.140/PLTV/88888888/224/3221226817/index.m3u8
NewTV未来电视 精品体育,http://121.31.30.90:8085/ysten-business/live/jtiyu/1.m3u8
NewTV未来电视 精品大剧 (Backup),http://121.31.30.90:8085/ysten-business/live/jdaju/1.m3u8
NewTV未来电视 精品记录,http://117.148.187.37/PLTV/88888888/224/3221226763/index.m3u8
NewTV未来电视 精品记录,http://121.31.30.90:8085/ysten-business/live/jingpinjl/1.m3u8
NewTV未来电视 金牌综艺 (Backup),http://121.31.30.90:8085/ysten-business/live/saishijx/1.m3u8
NHK Chinese Vision,https://nhkw-zh-hlscomp.akamaized.net/8thz5iufork8wjip/playlist.m3u8
TVBS新聞台,http://60.199.188.65/HLS/WG_TVBS-N/index.m3u8
万州三峡移民,http://123.146.162.24:8013/tslslive/PU2vzMI/hls/live_sd.m3u8
万州影视,http://123.146.162.24:8013/tslslive/vWlnEzU/hls/live_sd.m3u8
万盛,http://qxlmlive.cbg.cn:1935/app_2/ls_40.stream/chunklist.m3u8
万盛新闻综合,http://qxlmlive.cbg.cn:1935/app_2/ls_40.stream/playlist.m3u8
万载综合频道,http://jxwz.chinashadt.com:2036/live/tv1.stream/playlist.m3u8
三亚新闻综合,http://hnsy.chinashadt.com:1935/live/syzb.stream/playlist.m3u8
三明公共频道,http://stream.smntv.cn/smtv2/sd/live.m3u8
三明新闻综合,http://stream.smntv.cn/smtv1/sd/live.m3u8
三立新聞台,http://60.199.188.65/HLS/WG_ETTV-N/index.m3u8
上海东方卫视,http://ivi.bupt.edu.cn/hls/dfhd.m3u8
上海这一刻陆家嘴,http://bililive.kksmg.com/hls/sdi7000/playlist.m3u8
上海这一刻陆家嘴,http://bililive.kksmg.com/hls/sdi7000/playlist.m3u8?wsSession=14d4afa57497cbd7234253cd-154201925578539&wsIPSercert=acb4b8c47a67df44337edea131d91dac&wsMonitor=-1
上海这一刻魔都眼,http://bililive.kksmg.com/hls/sdi80/playlist.m3u8?wsSession=14d4afa57497cbd7234253cd-154201931602055&wsIPSercert=acb4b8c47a67df44337edea131d91dac&wsMonitor=-1
上海金山电视台,http://live.mudu.tv/watch/4zbn2f.m3u8
上虞1新闻综合,http://l.cztvcloud.com/channels/lantian/SXshangyu1/720p.m3u8
上虞3新商都,http://l.cztvcloud.com/channels/lantian/SXshangyu3/720p.m3u8
东乡电视台,http://117.156.28.119/270000001111/1110000131/index.m3u8
东南卫视,http://121.31.30.90:8085/ysten-business/live/dongnanstv/1.m3u8
东南卫视,http://121.31.30.90:8085/ysten-business/live/dongnanstv/yst.m3u8
东南卫视,http://ivi.bupt.edu.cn/hls/dntv.m3u8
东南卫视,http://m-tvlmedia.public.bcs.ysten.com/ysten-business/live/dongnanstv/1.m3u8
东南卫视高清,http://117.169.120.140:8080/live/dongnanstv/.m3u8
东方卫视,http://121.31.30.90:8085/ysten-business/live/dongfangstv/1.m3u8
东方卫视,http://121.31.30.90:8085/ysten-business/live/dongfangstv/yst.m3u8
东方卫视FHD,http://117.148.187.37/PLTV/88888888/224/3221226142/index.m3u8
东方卫视HD,http://121.31.30.90:8085/ysten-business/live/hddongfangstv/1.m3u8
东方卫视HD,http://223.82.250.72/live/hddongfangstv/1.m3u8
东昌导视频道,http://sddc.chinashadt.com:1936/live/gonggong.stream/playlist.m3u8
东至影视频道,http://223.247.33.124:1935/live/yingshi/playlist.m3u8
东至文化资讯,http://223.247.33.124:1935/live/wenhua/playlist.m3u8
东至新闻综合,http://223.247.33.124:1935/live/zonghe/playlist.m3u8
东营公共频道,http://stream.hhek.cn/ggpd/sd/live.m3u8
东营图文频道,http://stream.hhek.cn/twpd/sd/live.m3u8
东营科教频道,http://stream.hhek.cn/dyjy/sd/live.m3u8
东营综合频道,http://stream.hhek.cn/xwzh/sd/live.m3u8
东阳影视生活,http://stream.dybtv.com/yssh/GQ/live.m3u8
东阳新闻综合,http://stream.dybtv.com/xwzh/GQ/live.m3u8
两对夫妇的情事,https://156zy.suyunbo.tv/2018/07/21/ERc1jhgnYvZXt23Q/playlist.m3u8
中国教育1,http://121.31.30.90:8085/ysten-business/live/jiaoyutv/1.m3u8
中国教育1,http://121.31.30.90:8085/ysten-business/live/jiaoyutv/yst.m3u8
中国教育2台CETV2,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225756/index.m3u8
中国气象,http://hls.weathertv.cn/tslslive/qCFIfHB/hls/live_sd.m3u8
中山公共,http://dslive.grtn.cn/zszh/sd/live.m3u8
中牟综合频道,http://218.206.193.210:9850/playServer/acquirePlayService?type=live&resourceId=1000000000000001&protocol=hls0&drmType=none&deviceGroup=TV(STB)&op=sovp&playType=catchup&redirect=m3u8&nsukey=&kdsplayer=media
丰都文化旅游,http://125.62.25.201:1936/output0.m3u8
临漳公共频道,http://hblz.chinashadt.com:1538/live/di3.stream/playlist.m3u8
临漳百姓频道,http://hblz.chinashadt.com:1538/live/di4.stream/playlist.m3u8
乐清新闻频道,http://33809.hlsplay.aodianyun.com/guangdianyun_33809/tv_channel_170.m3u8
乐清生活频道,http://33809.hlsplay.aodianyun.com/guangdianyun_33809/tv_channel_171.m3u8
九寨沟新闻综合,http://111.231.194.231:85/live/xwzh.m3u8
九寨沟新闻综合,http://111.231.194.231:85/live/xwzh_500k.m3u8
九寨沟旅游资讯,http://111.231.194.231:85/live/lyzx.m3u8
九寨沟旅游资讯,http://111.231.194.231:85/live/lyzx_500k.m3u8
云南卫视,http://121.31.30.90:8085/ysten-business/live/yunnanstv/1.m3u8
云南卫视,http://121.31.30.90:8085/ysten-business/live/yunnanstv/yst.m3u8
云南卫视,http://ivi.bupt.edu.cn/hls/yntv.m3u8
云南卫视,http://m-tvlmedia.public.bcs.ysten.com/ysten-business/live/yunnanstv/1.m3u8
五星体育,http://117.148.187.83/PLTV/88888888/224/3221226582/index.m3u8
五星体育蓝光,http://117.148.187.37/PLTV/88888888/224/3221226582/index.m3u8
亞旅衛視,http://hls.jingchangkan.tv/jingchangkan/156722438_0HaM/index.m3u8
亳州农村,http://218.22.251.12:8001/tslslive/JpWzs2u/hls/live_sd.m3u8
亳州农村频道,http://220.180.110.101:8083/videos/live/39/13/o4ncrHkSp7q09/o4ncrHkSp7q09.M3U8
亳州新闻综合,http://218.22.251.12:8001/tslslive/wT9aUpL/hls/live_sd.m3u8
亳州新闻频道,http://220.180.110.101:8083/videos/live/33/59/NC7XQdEveyncq/NC7XQdEveyncq.M3U8
仙桃新闻综合,http://221.233.242.239:280/live/71/playlist.m3u8
仙桃生活文体,http://221.233.242.239:280/live/72/playlist.m3u8
优优宝贝,http://112.17.40.140/PLTV/88888888/224/3221226829/index.m3u8
优漫卡通,http://117.148.187.37/PLTV/88888888/224/3221226172/index.m3u8
优漫卡通,http://121.31.30.90:8085/ysten-business/live/youmankaton/1.m3u8
优漫卡通,http://121.31.30.90:8085/ysten-business/live/youmankaton/yst.m3u8
优漫卡通,http://m-tvlmedia.public.bcs.ysten.com/ysten-business/live/youmankaton/1.m3u8
余姚新闻综合,http://l.cztvcloud.com/channels/lantian/SXyuyao1/720p.m3u8
侨乡频道,http://stream.jinjiang.tv/1/sd/live.m3u8
保姆的目的,https://156zy.suyunbo.tv/2018/07/28/55Zmxf2t0KqXP4xy/playlist.m3u8
信吉電視,http://220.130.241.203:1935/sjtv/livestream/playlist.m3u8
假面骑士HD,http://117.148.187.37/PLTV/88888888/224/3221226178/index.m3u8
公共农村,http://219.153.252.50/PLTV/88888888/224/3221225626/chunklist.m3u8
六安公共频道,http://live.china-latv.com/channel2/sd/live.m3u8
六安新闻综合,http://live.china-latv.com/channel1/sd/live.m3u8
兵团卫视,http://112.17.40.140/PLTV/88888888/224/3221226186/index.m3u8
兵团卫视,http://ivi.bupt.edu.cn/hls/bttv.m3u8
兵团卫视,http://v.btzx.com.cn:1935/live/weishi.stream/chunklist_w846804169.m3u8
兵团卫视,http://v.btzx.com.cn:1935/live/weishi.stream/playlist.m3u8
兵团建设,http://v.btzx.com.cn:1935/live/news.stream/playlist.m3u8
内蒙古卫视,http://117.169.120.140:8080/live/neimenggustv/.m3u8
内蒙古卫视,http://121.31.30.90:8085/ysten-business/live/neimenggustv/1.m3u8
内蒙古卫视,http://121.31.30.90:8085/ysten-business/live/neimenggustv/yst.m3u8
农安新闻综合,http://stream2.jlntv.cn/naxw/sd/live.m3u8
凤台文化生活,http://60.175.115.119:1935/live/wenhua/playlist.m3u8
凤台综合频道,http://60.175.115.119:1935/live/zonghe/playlist.m3u8
利川公共频道,http://lichuan.live.tempsource.cjyun.org/videotmp/s10093-lcgg.m3u8
前郭综合频道,http://stream2.jlntv.cn/qg/sd/live.m3u8
包头新闻综合,http://live.btgdt.com/channels/btgd/xwzh/m3u8:500k/live
包头生活服务,http://live.btgdt.com/channels/btgd/shfw/m3u8:500k/live
包头经济频道,http://live.btgdt.com/channels/btgd/jjpd/m3u8:500k/live
北京10少儿,http://ivi.bupt.edu.cn/hls/btv10.m3u8
北京冬奥纪实,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225729/index.m3u8
北京卡酷少儿,http://117.148.187.37/PLTV/88888888/224/3221226184/index.m3u8
北京卡酷少儿,http://121.31.30.90:8085/ysten-business/live/kakukaton/1.m3u8
北京卡酷少儿,http://121.31.30.90:8085/ysten-business/live/kakukaton/yst.m3u8
北京卫视,http://121.31.30.90:8085/ysten-business/live/beijingstv/1.m3u8
北京卫视,http://121.31.30.90:8085/ysten-business/live/beijingstv/yst.m3u8
北京卫视,http://m-tvlmedia.public.bcs.ysten.com/ysten-business/live/beijingstv/1.m3u8
北京卫视HD,http://121.31.30.90:8085/ysten-business/live/hdbeijingstv/1.m3u8
北京卫视HD,http://121.31.30.90:8085/ysten-business/live/hdbeijingstv/yst.m3u8
北京卫视HD,http://223.82.250.72/live/hdbeijingstv/1.m3u8
北京卫视HD,http://ivi.bupt.edu.cn/hls/btv1hd.m3u8
北京影视,http://ivi.bupt.edu.cn/hls/btv4.m3u8
北京文艺,http://ivi.bupt.edu.cn/hls/btv2.m3u8
北京文艺HD,http://ivi.bupt.edu.cn/hls/btv2hd.m3u8
北京新闻,http://ivi.bupt.edu.cn/hls/btv9.m3u8
北京生活,http://ivi.bupt.edu.cn/hls/btv7.m3u8
北京科教,http://ivi.bupt.edu.cn/hls/btv3.m3u8
北京纪实,http://ivi.bupt.edu.cn/hls/btv11hd.m3u8
北京财经,http://ivi.bupt.edu.cn/hls/btv5.m3u8
北京青年,http://ivi.bupt.edu.cn/hls/btv8.m3u8
北碚综合频道,http://222.178.181.121:12034/beibei01.m3u8
华亭电视台,http://117.156.28.119/270000001111/1110000148/index.m3u8
南京十八,http://live.nbs.cn/channels/njtv/sbpd/m3u8:500k/live.m3u8
南京娱乐,http://live.nbs.cn/channels/njtv/ylpd/m3u8:500k/live.m3u8
南京少儿,http://live.nbs.cn/channels/njtv/sepd/m3u8:500k/live.m3u8
南京新闻综合,http://live.nbs.cn/channels/njtv/xwzh/m3u8:500k/live.m3u8
南京生活,http://live.nbs.cn/channels/njtv/shpd/m3u8:500k/live.m3u8
南召一套,http://hnnz.chinashadt.com:1935/live/1002.stream/playlist.m3u8
南川新闻综合,http://221.5.213.4:30000/1111.m3u8
南川新闻综合,http://nanchuanlive.cbg.cn:30000/1111.m3u8
南川旅游经济,http://221.5.213.4:30000/2222.m3u8
南川旅游经济,http://nanchuanlive.cbg.cn:30000/2222.m3u8
南阳新闻频道,http://30539.hlsplay.aodianyun.com/lms_30539/tv_channel_142.m3u8
南阳新闻频道,http://hnnz.chinashadt.com:1935/live/1003.stream/playlist.m3u8
南阳科教频道,http://30539.hlsplay.aodianyun.com/lms_30539/tv_channel_296.m3u8
博州汉语综合,http://klmyyun.chinavas.com/hls/bozhou1.m3u8
博州维语综合,http://klmyyun.chinavas.com/hls/bozhou3.m3u8
博斯魅力,https://ms003.happytv.com.tw/live/OcScNdWHvBx5P4w3/index.m3u8
厦视一套,http://cstvpull.live.wscdns.com/live/xiamen1.flv
厦视二套,http://cstvpull.live.wscdns.com/live/xiamen2.flv
厦门卫视,http://cstvpull.live.wscdns.com/live/xiamen3.flv
厦门卫视XMTV Star,http://cstvpull.live.wscdns.com/live/xiamen4.flv
双峰电视一套,http://hnsf.chinashadt.com:2036/zhuanma/tv1.stream_360p/playlist.m3u8
双流综合,http://streaming.sltv.net/live/1f9c43a006c947aba1afccfbe9f35b2e.m3u8?fmt=h264_550k_ts&m3u8
句容党建频道,http://218.3.92.100:1937/live/dangjian/playlist.m3u8
句容影视,http://218.3.92.100:1937/live/yingshi/chunklist_w365370764.m3u8
句容影视,http://218.3.92.100:1937/live/yingshi/playlist.m3u8
句容新闻综合,http://218.3.92.100:1937/live/jrxwzh/playlist.m3u8
句容生活频道,http://218.3.92.100:1937/live/shenghuo/playlist.m3u8
吉林乡村,http://stream1.jlntv.cn/xcpd/sd/live.m3u8
吉林公共新闻,http://stream1.jlntv.cn/ggpd/sd/live.m3u8?_upt=b95938311531576098
吉林卫视,http://121.31.30.90:8085/ysten-business/live/jilinstv/1.m3u8
吉林卫视,http://121.31.30.90:8085/ysten-business/live/jilinstv/yst.m3u8
吉林卫视高清,http://117.169.120.140:8080/live/jilinstv/.m3u8
吉林山村,http://stream1.jlntv.cn/xcpd/sd/live.m3u8?_upt=ed8b01841531576074
吉林市新闻综合,http://stream2.jlntv.cn/jilin1/sd/live.m3u8
吉林生活,http://stream1.jlntv.cn/shpd/sd/live.m3u8?_upt=212b47d81531576020
吉林都市,http://stream1.jlntv.cn/dspd/sd/live.m3u8?_upt=4f4899d21531575987
吴江新闻综合,http://30515.hlsplay.aodianyun.com/lms_30515/tv_channel_239.m3u8
周口图文信息,http://tv.zkxww.com:1935/live4/mp4:ch4-500k/playlist.m3u8
周口新闻综合2,http://tv.zkxww.com:1935/live1/mp4:ch1-500k/playlist.m3u8
周口科教文化2,http://tv.zkxww.com:1935/live3/mp4:ch3-500k/playlist.m3u8
周口经济生活2,http://tv.zkxww.com:1935/live2/mp4:ch2-500k/playlist.m3u8
和政电视台,http://117.156.28.119/270000001111/1110000149/index.m3u8
咸宁综合频道,http://xianning.live.cjyun.org/video/s10140-XNTV-1/index.m3u8
哈哈炫动Toon Max TV,http://210.210.155.35/qwr9ew/s/s50/index2.m3u8
哈哈炫动卫视,http://210.210.155.35/qwr9ew/s/s50/index.m3u8
嘉佳卡通,http://112.17.40.140/PLTV/88888888/224/3221226461/index.m3u8
嘉佳卡通,http://117.148.187.37/PLTV/88888888/224/3221226461/index.m3u8
嘉兴新闻综合,http://112.17.40.140/PLTV/88888888/224/3221226358/index.m3u8
四川卫视,http://121.31.30.90:8085/ysten-business/live/sichuanstv/1.m3u8
四川卫视,http://121.31.30.90:8085/ysten-business/live/sichuanstv/yst.m3u8
四川卫视,http://223.82.250.72/live/sichuanstv/1.m3u8
四川卫视,http://m-tvlmedia.public.bcs.ysten.com/ysten-business/live/sichuanstv/1.m3u8
四平新闻综合,http://stream2.jlntv.cn/sptv/sd/live.m3u8
四海钓鱼,http://112.17.40.140/PLTV/88888888/224/3221226533/index.m3u8
增城综合,http://202.168.164.38:8083/videos/live/19/27/QEQXMtU5AUpwo/QEQXMtU5AUpwo.M3U8
壤塘综合频道,http://118.122.239.157:1236/hls/hd-live.m3u8
大冶一套,http://dayeyun.live.tempsource.cjyun.org/videotmp/s10102-TC1T.m3u8
大冶二套,http://dayeyun.live.tempsource.cjyun.org/videotmp/s10102-TC2T.m3u8
